Industry,Secondary_Industry,SIC_INDUSTRY_CLASS_NM,SIC_INDUSTRY_CLASS_CD,Client
Agriculture & Fisheries,Agriculture and Fisheries,Animal specialty services,752,10
Agriculture & Fisheries,Agriculture and Fisheries,Beef cattle feedlots,211,5
Agriculture & Fisheries,Agriculture and Fisheries,"Beef cattle, except feedlots",212,52
Agriculture & Fisheries,Agriculture and Fisheries,"Cash grains, nec",119,2
Agriculture & Fisheries,Agriculture and Fisheries,Chicken eggs,252,115
Agriculture & Fisheries,Agriculture and Fisheries,Crop planting and protecting,721,8
Agriculture & Fisheries,Agriculture and Fisheries,Crop preparation services for market,723,57
Agriculture & Fisheries,Agriculture and Fisheries,Farm management services,762,16
Agriculture & Fisheries,Agriculture and Fisheries,"Field crops, except cash grains, nec",139,14
Agriculture & Fisheries,Agriculture and Fisheries,Food crops grown under cover,182,16
Agriculture & Fisheries,Agriculture and Fisheries,"Fruits and tree nuts, nec",179,18
Agriculture & Fisheries,Agriculture and Fisheries,"General farms, primarily animal",291,1
Agriculture & Fisheries,Agriculture and Fisheries,"General farms, primarily crop",191,164
Agriculture & Fisheries,Agriculture and Fisheries,Grapes,172,2
Agriculture & Fisheries,Agriculture and Fisheries,Hogs,213,18
Agriculture & Fisheries,Agriculture and Fisheries,"Hunting, trapping, game propagation",971,6
Agriculture & Fisheries,Agriculture and Fisheries,Landscape counseling and planning,781,52
Agriculture & Fisheries,Agriculture and Fisheries,Lawn and garden services,782,15
Agriculture & Fisheries,Agriculture and Fisheries,"Livestock services, exc. veterinary",751,198
Agriculture & Fisheries,Agriculture and Fisheries,Meat packing plants,2011,139
Agriculture & Fisheries,Agriculture and Fisheries,Ornamental nursery products,181,225
Agriculture & Fisheries,Agriculture and Fisheries,Ornamental shrub and tree services,783,794
Agriculture & Fisheries,Agriculture and Fisheries,Poultry hatcheries,254,10
Agriculture & Fisheries,Agriculture and Fisheries,"Prepared feeds, nec",2048,1614
Agriculture & Fisheries,Agriculture and Fisheries,Rice,112,1
Agriculture & Fisheries,Agriculture and Fisheries,Rice milling,2044,9
Agriculture & Fisheries,Agriculture and Fisheries,Tobacco,132,1
Agriculture & Fisheries,Agriculture and Fisheries,Tobacco stemming and redrying,2141,154
Agriculture & Fisheries,Agriculture and Fisheries,Tree nuts,173,164
Agriculture & Fisheries,Agriculture and Fisheries,Vegetables and melons,161,33
Agriculture & Fisheries,Agriculture and Fisheries,"Veterinary services, specialties",742,122
Agriculture & Fisheries,Agriculture and Fisheries,Wet corn milling,2046,491
Automotive,Automotive - Other,Automotive and apparel trimmings,2396,6
Automotive,Automotive - Other,"Automotive services, nec",7549,1457
Automotive,Automotive - Other,Boat building and repairing,3732,140
Automotive,Automotive - Other,Boat dealers,5551,3
Automotive,Automotive - Other,"Carburetors, pistons, rings, valves",3592,536
Automotive,Automotive - Other,Fluid power cylinders & actuators,3593,439
Automotive,Automotive - Other,Fluid power pumps and motors,3594,2754
Automotive,Automotive - Other,"Motor vehicle parts, used",5015,6
Automotive,Automotive - Other,"Motorcycles, bicycles, and parts",3751,2798
Automotive,Automotive - Other,Motors and generators,3621,33
Automotive,Automotive - Other,Passenger car rental,7514,380
Automotive,Automotive - Other,Recreational vehicle dealers,5561,114
Automotive,Automotive - Other,"Speed changers, drives, and gears",3566,43
Automotive,Automotive - Other,Tires and inner tubes,3011,124
Automotive,Automotive - Other,"Transportation equipment, nec",3799,554
Automotive,Automotive - Other,Travel trailers and campers,3792,1
Automotive,Automotive - Other,Truck trailers,3715,36
Automotive,Automotive - Other,Utility trailer rental,7519,45
Automotive,Automotive - Other,Vehicular lighting equipment,3647,576
Automotive,Automotive Dealers,Automobiles and other motor vehicles,5012,791
Automotive,Automotive Dealers,"Automotive dealers, nec",5599,29
Automotive,Automotive Dealers,New and used car dealers,5511,2283
Automotive,Automotive Manufacturers/OEMs,Automotive stampings,3465,433
Automotive,Automotive Manufacturers/OEMs,"Internal combustion engines, nec",3519,85
Automotive,Automotive Manufacturers/OEMs,Motor vehicles and car bodies,3711,5336
Automotive,Automotive Manufacturers/OEMs,Truck and bus bodies,3713,46
Automotive,Automotive Suppliers,Motor vehicle parts and accessories,3714,10941
Automotive,Automotive Suppliers,Motor vehicle supplies and new parts,5013,2496
Automotive,Automotive Suppliers,Tire retreading and repair shops,7534,177
Automotive,Automotive Suppliers,Tires and tubes,5014,516
Chemical,Chemicals,Adhesives and sealants,2891,347
Chemical,Chemicals,"Agricultural chemicals, nec",2879,2608
Chemical,Chemicals,Alkalies and chlorine,2812,325
Chemical,Chemicals,Carbon black,2895,43
Chemical,Chemicals,Cellulosic manmade fibers,2823,240
Chemical,Chemicals,"Chemical preparations, nec",2899,4146
Chemical,Chemicals,"Chemicals & allied products, nec",5169,2787
Chemical,Chemicals,Custom compound purchased resins,3087,1
Chemical,Chemicals,Cyclic crudes and intermediates,2865,794
Chemical,Chemicals,Explosives,2892,25
Chemical,Chemicals,"Fertilizers, mixing only",2875,16
Chemical,Chemicals,Gum and wood chemicals,2861,138
Chemical,Chemicals,Industrial gases,2813,180
Chemical,Chemicals,"Industrial inorganic chemicals, nec",2819,1766
Chemical,Chemicals,"Industrial organic chemicals, nec",2869,1009
Chemical,Chemicals,Inorganic pigments,2816,35
Chemical,Chemicals,Nitrogenous fertilizers,2873,248
Chemical,Chemicals,"Organic fibers, noncellulosic",2824,67
Chemical,Chemicals,Paints and allied products,2851,1002
Chemical,Chemicals,Phosphatic fertilizers,2874,288
Chemical,Chemicals,Plastics foam products,3086,236
Chemical,Chemicals,Plastics materials and resins,2821,2135
Chemical,Chemicals,"Plastics products, nec",3089,2692
Chemical,Chemicals,Polishes and sanitation goods,2842,720
Chemical,Chemicals,Printing ink,2893,192
Chemical,Chemicals,Soap and other detergents,2841,1439
Chemical,Chemicals,Surface active agents,2843,357
Chemical,Chemicals,Synthetic rubber,2822,485
Chemical,Chemicals,Toilet preparations,2844,4412
Chemical,Chemicals,Unsupported plastics film & sheet,3081,5203
"Communications, Media & Technology",Communications,"Communication services, nec",4899,6213
"Communications, Media & Technology",Communications,Radiotelephone communications,4812,742
"Communications, Media & Technology",Communications,"Telephone communications, exc. radio",4813,3236
"Communications, Media & Technology",Electronics Manufacturing,"Communications equipment, nec",3669,1404
"Communications, Media & Technology",Electronics Manufacturing,"Computer peripheral equipment, nec",3577,2471
"Communications, Media & Technology",Electronics Manufacturing,Computer storage devices,3572,1609
"Communications, Media & Technology",Electronics Manufacturing,Computer terminals,3575,674
"Communications, Media & Technology",Electronics Manufacturing,Current-carrying wiring devices,3643,59
"Communications, Media & Technology",Electronics Manufacturing,"Electrical equipment & supplies, nec",3699,1382
"Communications, Media & Technology",Electronics Manufacturing,"Electrical industrial apparatus, nec",3629,1762
"Communications, Media & Technology",Electronics Manufacturing,Electronic capacitors,3675,201
"Communications, Media & Technology",Electronics Manufacturing,"Electronic components, nec",3679,3757
"Communications, Media & Technology",Electronics Manufacturing,Electronic computers,3571,2052
"Communications, Media & Technology",Electronics Manufacturing,Electronic connectors,3678,1241
"Communications, Media & Technology",Electronics Manufacturing,Electronic resistors,3676,12
"Communications, Media & Technology",Electronics Manufacturing,Household audio and video equipment,3651,325
"Communications, Media & Technology",Electronics Manufacturing,Magnetic and optical recording media,3695,25
"Communications, Media & Technology",Electronics Manufacturing,"Primary batteries, dry and wet",3692,611
"Communications, Media & Technology",Electronics Manufacturing,Printed circuit boards,3672,1982
"Communications, Media & Technology",Electronics Manufacturing,Radio & TV communications equipment,3663,3554
"Communications, Media & Technology",Electronics Manufacturing,Relays and industrial controls,3625,437
"Communications, Media & Technology",Electronics Manufacturing,"Scales and balances, exc. laboratory",3596,64
"Communications, Media & Technology",Electronics Manufacturing,Search and navigation equipment,3812,2147
"Communications, Media & Technology",Electronics Manufacturing,Semiconductors and related devices,3674,6844
"Communications, Media & Technology",Electronics Manufacturing,Storage batteries,3691,1134
"Communications, Media & Technology",Electronics Manufacturing,Telephone and telegraph apparatus,3661,701
"Communications, Media & Technology",Electronics Manufacturing,"Transformers, except electronic",3612,31
"Communications, Media & Technology",Information Technology,Computer facilities management,7376,27
"Communications, Media & Technology",Information Technology,Computer integrated systems design,7373,6137
"Communications, Media & Technology",Information Technology,Computer maintenance & repair,7378,314
"Communications, Media & Technology",Information Technology,Computer programming services,7371,10594
"Communications, Media & Technology",Information Technology,"Computer related services, nec",7379,4850
"Communications, Media & Technology",Information Technology,Computer rental & leasing,7377,64
"Communications, Media & Technology",Information Technology,"Computers, peripherals & software",5045,4774
"Communications, Media & Technology",Information Technology,Data processing and preparation,7374,3413
"Communications, Media & Technology",Information Technology,Electronic parts and equipment,5065,2472
"Communications, Media & Technology",Information Technology,Information retrieval services,7375,2641
"Communications, Media & Technology",Information Technology,Prepackaged software,7372,7357
"Communications, Media & Technology",Media,Book publishing,2731,825
"Communications, Media & Technology",Media,Cable and other pay TV services,4841,629
"Communications, Media & Technology",Media,Miscellaneous publishing,2741,66
"Communications, Media & Technology",Media,Newspapers,2711,1271
"Communications, Media & Technology",Media,Periodicals,2721,580
"Communications, Media & Technology",Media,Radio broadcasting stations,4832,1807
"Communications, Media & Technology",Media,Television broadcasting stations,4833,1502
Construction,Contractors,"Bridge, tunnel, & elevated highway",1622,1051
Construction,Contractors,Concrete work,1771,21
Construction,Contractors,Electrical work,1731,982
Construction,Contractors,Excavation work,1794,471
Construction,Contractors,"Floor laying and floor work, nec",1752,2
Construction,Contractors,Glass and glazing work,1793,113
Construction,Contractors,Heavy construction equipment rental,7353,2
Construction,Contractors,"Heavy construction, nec",1629,1819
Construction,Contractors,Highway and street construction,1611,3030
Construction,Contractors,Industrial buildings and warehouses,1541,1042
Construction,Contractors,"Installing building equipment, nec",1796,9
Construction,Contractors,Masonry and other stonework,1741,246
Construction,Contractors,"Nonresidential construction, nec",1542,8983
Construction,Contractors,Operative builders,1531,1561
Construction,Contractors,Painting and paper hanging,1721,23
Construction,Contractors,"Plastering, drywall, and insulation",1742,69
Construction,Contractors,"Plumbing, heating, air-conditioning",1711,1797
Construction,Contractors,"Residential construction, nec",1522,1556
Construction,Contractors,"Roofing, siding, and sheet metal work",1761,297
Construction,Contractors,Single-family housing construction,1521,1001
Construction,Contractors,"Special trade contractors, nec",1799,291
Construction,Contractors,Structural steel erection,1791,521
Construction,Contractors,"Terrazzo, tile, marble, mosaic work",1743,5
Construction,Contractors,Water well drilling,1781,68
Construction,Contractors,"Water, sewer, and utility lines",1623,2106
Construction,Design Firms,Architectural services,8712,487
Construction,Design Firms,Engineering services,8711,10466
Construction,Design Firms,Surveying services,8713,167
Construction,Materials,Asphalt felts and coatings,2952,1967
Construction,Materials,Asphalt paving mixtures and blocks,2951,522
Construction,Materials,"Cement, hydraulic",3241,314
Construction,Materials,Concrete block and brick,3271,10
Construction,Materials,"Concrete products, nec",3272,199
Construction,Materials,Lime,3274,20
Construction,Materials,Ready-mixed concrete,3273,929
Education,Colleges and Universities,Business and secretarial schools,8244,2
Education,Colleges and Universities,Colleges and universities,8221,20939
Education,Colleges and Universities,Junior colleges,8222,677
Education,Educational Services,Admin. of educational programs,9411,2623
Education,Educational Services,Child day care services,8351,12
Education,Educational Services,"Educational, religious, etc. trusts",6732,568
Education,Educational Services,Libraries,8231,1031
Education,Educational Services,"Schools & educational services, nec",8299,3342
Education,Educational Services,"Vocational schools, nec",8249,353
Education,Elementary and Secondary Schools,Elementary and secondary schools,8211,1698
Energy,Mining,Anthracite mining,1231,358
Energy,Mining,Bituminous coal and lignite surface,1221,676
Energy,Mining,Bituminous coal underground,1222,120
Energy,Mining,"Chemical and fertilizer mining, nec",1479,746
Energy,Mining,Coal mining services,1241,28
Energy,Mining,Construction sand and gravel,1442,16
Energy,Mining,Copper ores,1021,111
Energy,Mining,Crushed and broken granite,1423,360
Energy,Mining,Crushed and broken limestone,1422,1143
Energy,Mining,"Ferroalloy ores, except vanadium",1061,40
Energy,Mining,Gold ores,1041,765
Energy,Mining,Industrial sand,1446,393
Energy,Mining,Iron ores,1011,196
Energy,Mining,Metal mining services,1081,7
Energy,Mining,"Metal ores, nec",1099,324
Energy,Mining,Miscellaneous nonmetallic minerals,1499,65
Energy,Mining,"Potash, soda, and borate minerals",1474,504
Energy,Mining,Uranium-radium-vanadium ores,1094,2
Energy,Oil And Gas Extraction/Refining,Crude petroleum and natural gas,1311,2947
Energy,Oil And Gas Extraction/Refining,Crude petroleum pipelines,4612,908
Energy,Oil And Gas Extraction/Refining,Drilling oil and gas wells,1381,873
Energy,Oil And Gas Extraction/Refining,Lubricating oils and greases,2992,20
Energy,Oil And Gas Extraction/Refining,Natural gas liquids,1321,990
Energy,Oil And Gas Extraction/Refining,Oil and gas exploration services,1382,1829
Energy,Oil And Gas Extraction/Refining,"Oil and gas field services, nec",1389,1224
Energy,Oil And Gas Extraction/Refining,"Petroleum and coal products, nec",2999,126
Energy,Oil And Gas Extraction/Refining,Petroleum refining,2911,3552
Energy,Oil And Gas Extraction/Refining,"Pipelines, nec",4619,180
Energy,Oil And Gas Extraction/Refining,Refined petroleum pipelines,4613,496
Energy,Primary Metal Industries,Aluminum foundries,3365,7
Energy,Primary Metal Industries,Blast furnaces and steel mills,3312,4400
Energy,Primary Metal Industries,Copper foundries,3366,1064
Energy,Primary Metal Industries,Copper rolling and drawing,3351,415
Energy,Primary Metal Industries,Electrometallurgical products,3313,57
Energy,Primary Metal Industries,Gray and ductile iron foundries,3321,1083
Energy,Primary Metal Industries,Iron and steel forgings,3462,377
Energy,Primary Metal Industries,Nonferrous forgings,3463,282
Energy,Primary Metal Industries,"Nonferrous foundries, nec",3369,2
Energy,Primary Metal Industries,Primary aluminum,3334,292
Energy,Primary Metal Industries,"Primary nonferrous metals, nec",3339,267
Energy,Primary Metal Industries,Secondary nonferrous metals,3341,264
Energy,Primary Metal Industries,"Steel foundries, nec",3325,540
Energy,Primary Metal Industries,Steel investment foundries,3324,597
Entertainment,Entertainment,Advertising agencies,7311,1098
Entertainment,Entertainment,"Advertising, nec",7319,22
Entertainment,Entertainment,Entertainers & entertainment groups,7929,395
Entertainment,Entertainment,Motion picture & video production,7812,458
Entertainment,Entertainment,Services allied to motion pictures,7819,1367
Entertainment,Entertainment,Theatrical producers and services,7922,1027
Financial Institutions,Asset Managers/Investment Companies,Investment advice,6282,4906
Financial Institutions,Asset Managers/Investment Companies,"Investment offices, nec",6726,7513
Financial Institutions,Asset Managers/Investment Companies,"Investors, nec",6799,13825
Financial Institutions,Asset Managers/Investment Companies,"Management investment, open-end",6722,3413
Financial Institutions,Asset Managers/Investment Companies,Nondeposit trust facilities,6091,86
Financial Institutions,Asset Managers/Investment Companies,"Pension, health, and welfare funds",6371,456
Financial Institutions,Asset Managers/Investment Companies,"Trusts, nec",6733,325
Financial Institutions,Banks/Consumer Finance,Bank holding companies,6712,847
Financial Institutions,Banks/Consumer Finance,"Central reserve depository, nec",6019,53
Financial Institutions,Banks/Consumer Finance,"Commercial banks, nec",6029,339
Financial Institutions,Banks/Consumer Finance,Federal & fed.-sponsored credit,6111,718
Financial Institutions,Banks/Consumer Finance,Federal credit unions,6061,1422
Financial Institutions,Banks/Consumer Finance,Federal reserve banks,6011,30
Financial Institutions,Banks/Consumer Finance,Federal savings institutions,6035,28
Financial Institutions,Banks/Consumer Finance,Foreign bank & branches & agencies,6081,98
Financial Institutions,Banks/Consumer Finance,Foreign trade & international banks,6082,131
Financial Institutions,Banks/Consumer Finance,National commercial banks,6021,5181
Financial Institutions,Banks/Consumer Finance,"Savings institutions, except federal",6036,61
Financial Institutions,Banks/Consumer Finance,State commercial banks,6022,3465
Financial Institutions,Financial Institutions - Other,Functions related to deposit banking,6099,1429
Financial Institutions,Financial Institutions - Other,"Holding companies, nec",6719,18294
Financial Institutions,Financial Institutions - Other,"Insurance agents, brokers, & service",6411,3682
Financial Institutions,Financial Institutions - Other,Loan brokers,6163,512
Financial Institutions,Financial Institutions - Other,Misc. business credit institutions,6159,728
Financial Institutions,Financial Institutions - Other,Mortgage bankers and correspondents,6162,1736
Financial Institutions,Financial Institutions - Other,Passenger car leasing,7515,230
Financial Institutions,Financial Institutions - Other,Patent owners and lessors,6794,130
Financial Institutions,Financial Institutions - Other,Personal credit institutions,6141,1735
Financial Institutions,Financial Institutions - Other,Short-term business credit,6153,172
Financial Institutions,Financial Institutions - Other,Title abstract offices,6541,2
Financial Institutions,Financial Institutions - Other,"Truck rental and leasing, no drivers",7513,362
Financial Institutions,Insurance,Accident and health insurance,6321,738
Financial Institutions,Insurance,"Fire, marine, and casualty insurance",6331,3169
Financial Institutions,Insurance,"Insurance carriers, nec",6399,270
Financial Institutions,Insurance,Life insurance,6311,1958
Financial Institutions,Insurance,Surety insurance,6351,46
Financial Institutions,Insurance,Title insurance,6361,1140
Financial Institutions,Securities,"Commodity contracts brokers, dealers",6221,1877
Financial Institutions,Securities,Oil royalty traders,6792,61
Financial Institutions,Securities,"Security & commodity services, nec",6289,1057
Financial Institutions,Securities,Security and commodity exchanges,6231,218
Financial Institutions,Securities,Security brokers and dealers,6211,3853
Food & Beverage,Beverage Production,Bottled and canned soft drinks,2086,923
Food & Beverage,Beverage Production,Distilled and blended liquors,2085,186
Food & Beverage,Beverage Production,Fluid milk,2026,2881
Food & Beverage,Beverage Production,Malt,2083,328
Food & Beverage,Beverage Production,Malt beverages,2082,784
Food & Beverage,Beverage Production,"Wines, brandy, and brandy spirits",2084,1884
Food & Beverage,Food Production and Processing,Animal and marine fats and oils,2077,494
Food & Beverage,Food Production and Processing,Beet sugar,2063,355
Food & Beverage,Food Production and Processing,"Bread, cake, and related products",2051,230
Food & Beverage,Food Production and Processing,Candy & other confectionery products,2064,656
Food & Beverage,Food Production and Processing,Canned and cured fish and seafoods,2091,48
Food & Beverage,Food Production and Processing,Canned fruits and vegetables,2033,5402
Food & Beverage,Food Production and Processing,Canned specialties,2032,85
Food & Beverage,Food Production and Processing,Cereal breakfast foods,2043,1
Food & Beverage,Food Production and Processing,"Cheese, natural and processed",2022,997
Food & Beverage,Food Production and Processing,Chocolate and cocoa products,2066,120
Food & Beverage,Food Production and Processing,Cookies and crackers,2052,535
Food & Beverage,Food Production and Processing,Creamery butter,2021,872
Food & Beverage,Food Production and Processing,"Dehydrated fruits, vegetables, soups",2034,967
Food & Beverage,Food Production and Processing,Dog and cat food,2047,23
Food & Beverage,Food Production and Processing,"Dry, condensed, evaporated products",2023,3539
Food & Beverage,Food Production and Processing,"Edible fats and oils, nec",2079,738
Food & Beverage,Food Production and Processing,"Flavoring extracts and syrups, nec",2087,439
Food & Beverage,Food Production and Processing,"Food preparations, nec",2099,1672
Food & Beverage,Food Production and Processing,Fresh or frozen prepared fish,2092,502
Food & Beverage,Food Production and Processing,"Frozen bakery products, except bread",2053,312
Food & Beverage,Food Production and Processing,Frozen fruits and vegetables,2037,106
Food & Beverage,Food Production and Processing,"Frozen specialties, nec",2038,2402
Food & Beverage,Food Production and Processing,Ice cream and frozen desserts,2024,279
Food & Beverage,Food Production and Processing,"Pickles, sauces, and salad dressings",2035,135
Food & Beverage,Food Production and Processing,Potato chips and similar snacks,2096,149
Food & Beverage,Food Production and Processing,Poultry slaughtering and processing,2015,1089
Food & Beverage,Food Production and Processing,Prepared flour mixes and doughs,2045,108
Food & Beverage,Food Production and Processing,Roasted coffee,2095,196
Food & Beverage,Food Production and Processing,Salted and roasted nuts and seeds,2068,1
Food & Beverage,Food Production and Processing,Sausages and other prepared meats,2013,1139
Food & Beverage,Food Production and Processing,Soybean oil mills,2075,218
Food & Beverage,Food Production and Processing,"Vegetable oil mills, nec",2076,41
Food & Beverage,Tobacco Production and Processing,Chewing and smoking tobacco,2131,153
Food & Beverage,Tobacco Production and Processing,Cigarettes,2111,242
Forestry & Integrated Wood Products,Lumber and Wood Products,Forestry services,851,25
Forestry & Integrated Wood Products,Lumber and Wood Products,Hardwood dimension & flooring mills,2426,54
Forestry & Integrated Wood Products,Lumber and Wood Products,Millwork,2431,12
Forestry & Integrated Wood Products,Lumber and Wood Products,Reconstituted wood products,2493,659
Forestry & Integrated Wood Products,Lumber and Wood Products,"Sawmills and planing mills, general",2421,57
Forestry & Integrated Wood Products,Lumber and Wood Products,Softwood veneer and plywood,2436,8
Forestry & Integrated Wood Products,Lumber and Wood Products,Timber tracts,811,2
Forestry & Integrated Wood Products,Lumber and Wood Products,Wood household furniture,2511,199
Forestry & Integrated Wood Products,Lumber and Wood Products,Wood office furniture,2521,7
Forestry & Integrated Wood Products,Lumber and Wood Products,Wood partitions and fixtures,2541,418
Forestry & Integrated Wood Products,Lumber and Wood Products,"Wood products, nec",2499,64
Forestry & Integrated Wood Products,Paper and Allied Products,"Bags: plastics, laminated, & coated",2673,187
Forestry & Integrated Wood Products,Paper and Allied Products,Carbon paper and inked ribbons,3955,58
Forestry & Integrated Wood Products,Paper and Allied Products,"Commercial printing, gravure",2754,168
Forestry & Integrated Wood Products,Paper and Allied Products,"Commercial printing, lithographic",2752,64
Forestry & Integrated Wood Products,Paper and Allied Products,"Commercial printing, nec",2759,767
Forestry & Integrated Wood Products,Paper and Allied Products,"Converted paper products, nec",2679,318
Forestry & Integrated Wood Products,Paper and Allied Products,Corrugated and solid fiber boxes,2653,11
Forestry & Integrated Wood Products,Paper and Allied Products,"Fiber cans, drums & similar products",2655,572
Forestry & Integrated Wood Products,Paper and Allied Products,Greeting cards,2771,47
Forestry & Integrated Wood Products,Paper and Allied Products,"Paper coated & laminated, packaging",2671,989
Forestry & Integrated Wood Products,Paper and Allied Products,"Paper coated and laminated, nec",2672,242
Forestry & Integrated Wood Products,Paper and Allied Products,Paper industries machinery,3554,20
Forestry & Integrated Wood Products,Paper and Allied Products,Paper mills,2621,1211
Forestry & Integrated Wood Products,Paper and Allied Products,Paperboard mills,2631,303
Forestry & Integrated Wood Products,Paper and Allied Products,Pulp mills,2611,41
Forestry & Integrated Wood Products,Paper and Allied Products,Sanitary paper products,2676,422
HealthCare,Allied Health,Admin. of public health programs,9431,76
HealthCare,Allied Health,"Health and allied services, nec",8099,2140
HealthCare,Allied Health,Kidney dialysis centers,8092,25
HealthCare,Allied Health,Medical laboratories,8071,2159
HealthCare,Allied Health,"Specialty outpatient clinics, nec",8093,1353
HealthCare,Hospitals,General medical & surgical hospitals,8062,8980
HealthCare,Hospitals,Psychiatric hospitals,8063,153
HealthCare,Hospitals,Specialty hospitals exc. psychiatric,8069,1029
HealthCare,Managed Care,Hospital and medical service plans,6324,5240
HealthCare,Physicians,Offices & clinics of medical doctors,8011,1971
HealthCare,Physicians,Offices and clinics of dentists,8021,66
HealthCare,Physicians,Offices and clinics of optometrists,8042,334
HealthCare,Physicians,"Offices of health practitioners, nec",8049,116
HealthCare,Senior/Nursing Care,Home health care services,8082,1080
HealthCare,Senior/Nursing Care,Intermediate care facilities,8052,125
HealthCare,Senior/Nursing Care,"Nursing and personal care, nec",8059,1372
HealthCare,Senior/Nursing Care,Skilled nursing care facilities,8051,504
Hospitality and Gaming,"Hotels, Motels, Resorts",Coin-operated amusement devices,7993,20
Hospitality and Gaming,"Hotels, Motels, Resorts","Deep sea passenger trans., ex. ferry",4481,216
Hospitality and Gaming,"Hotels, Motels, Resorts",Hotels and motels,7011,17902
Hospitality and Gaming,"Hotels, Motels, Resorts",Membership-basis organization hotels,7041,4795
Hospitality and Gaming,"Hotels, Motels, Resorts",Trailer parks and campsites,7033,282
Hospitality and Gaming,"Hotels, Motels, Resorts","Water passenger transportation, nec",4489,31
Hospitality and Gaming,Restaurants,Drinking places,5813,602
Hospitality and Gaming,Restaurants,Eating places,5812,18241
Life Sciences,Commercial and Non-commercial Research Organizations,Commercial physical research,8731,3954
Life Sciences,Commercial and Non-commercial Research Organizations,Noncommercial research organizations,8733,1952
Life Sciences,Medical Device Manufacturers,Dental equipment and supplies,3843,712
Life Sciences,Medical Device Manufacturers,Dental laboratories,8072,17
Life Sciences,Medical Device Manufacturers,Electromedical equipment,3845,4113
Life Sciences,Medical Device Manufacturers,Surgical and medical instruments,3841,5785
Life Sciences,Medical Device Manufacturers,Surgical appliances and supplies,3842,6936
Life Sciences,Pharmaceuticals/Biotech,Biological products exc. diagnostic,2836,1734
Life Sciences,Pharmaceuticals/Biotech,Diagnostic substances,2835,650
Life Sciences,Pharmaceuticals/Biotech,"Drugs, proprietaries, and sundries",5122,2786
Life Sciences,Pharmaceuticals/Biotech,Medicinals and botanicals,2833,2366
Life Sciences,Pharmaceuticals/Biotech,Pharmaceutical preparations,2834,11807
Manufacturing,Aviation and Aerospace,Aircraft,3721,1093
Manufacturing,Aviation and Aerospace,Aircraft engines and engine parts,3724,1091
Manufacturing,Aviation and Aerospace,"Aircraft parts and equipment, nec",3728,5176
Manufacturing,Aviation and Aerospace,Guided missiles and space vehicles,3761,2060
Manufacturing,Aviation and Aerospace,Ship building and repairing,3731,382
Manufacturing,Aviation and Aerospace,Space propulsion units and parts,3764,186
Manufacturing,Aviation and Aerospace,Space research and technology,9661,18
Manufacturing,Light Manufacturing,Analytical instruments,3826,523
Manufacturing,Light Manufacturing,"Apparel and accessories, nec",2389,1
Manufacturing,Light Manufacturing,"Broadwoven fabric mills, cotton",2211,48
Manufacturing,Light Manufacturing,"Broadwoven fabric mills, manmade",2221,1375
Manufacturing,Light Manufacturing,Carpets and rugs,2273,1444
Manufacturing,Light Manufacturing,"Coated fabrics, not rubberized",2295,77
Manufacturing,Light Manufacturing,Dolls and stuffed toys,3942,1
Manufacturing,Light Manufacturing,Environmental controls,3822,18
Manufacturing,Light Manufacturing,"Fabricated textile products, nec",2399,215
Manufacturing,Light Manufacturing,Fluid meters and counting devices,3824,120
Manufacturing,Light Manufacturing,"Footwear, except rubber, nec",3149,737
