Industry,Secondary_Industry,SIC_INDUSTRY_CLASS_NM,SIC_INDUSTRY_CLASS_CD,Client
Manufacturing,Light Manufacturing,"Games, toys, and children's vehicles",3944,81
Manufacturing,Light Manufacturing,"Girls' and children's outerwear, nec",2369,6
Manufacturing,Light Manufacturing,"Housefurnishings, nec",2392,85
Manufacturing,Light Manufacturing,Instruments to measure electricity,3825,205
Manufacturing,Light Manufacturing,"Jewelry, precious metal",3911,200
Manufacturing,Light Manufacturing,Knit outerwear mills,2253,50
Manufacturing,Light Manufacturing,Laboratory apparatus and furniture,3821,15
Manufacturing,Light Manufacturing,Lead pencils and art goods,3952,111
Manufacturing,Light Manufacturing,Luggage,3161,26
Manufacturing,Light Manufacturing,"Measuring & controlling devices, nec",3829,1062
Manufacturing,Light Manufacturing,"Men's and boys' clothing, nec",2329,3
Manufacturing,Light Manufacturing,Men's and boys' neckwear,2323,1
Manufacturing,Light Manufacturing,Men's and boys' suits and coats,2311,35
Manufacturing,Light Manufacturing,Men's and boys' work clothing,2326,1926
Manufacturing,Light Manufacturing,"Men's footwear, except athletic",3143,365
Manufacturing,Light Manufacturing,Musical instruments,3931,10
Manufacturing,Light Manufacturing,Nonwoven fabrics,2297,283
Manufacturing,Light Manufacturing,Optical instruments and lenses,3827,92
Manufacturing,Light Manufacturing,Pens and mechanical pencils,3951,269
Manufacturing,Light Manufacturing,Photographic equipment and supplies,3861,515
Manufacturing,Light Manufacturing,Process control instruments,3823,162
Manufacturing,Light Manufacturing,"Textile goods, nec",2299,71
Manufacturing,Light Manufacturing,Tire cord and fabrics,2296,187
Manufacturing,Light Manufacturing,"Women's and misses' outerwear, nec",2339,10
Manufacturing,Light Manufacturing,Women's and misses' suits and coats,2337,16
Manufacturing,Light Manufacturing,"Women's hosiery, except socks",2251,9
Manufacturing,Light Manufacturing,"Women's, junior's, & misses' dresses",2335,20
Manufacturing,Light Manufacturing,Yarn spinning mills,2281,130
Manufacturing,Miscellanoues Capital Goods,Air and gas compressors,3563,546
Manufacturing,Miscellanoues Capital Goods,Ball and roller bearings,3562,10
Manufacturing,Miscellanoues Capital Goods,Blowers and fans,3564,895
Manufacturing,Miscellanoues Capital Goods,Construction machinery,3531,1070
Manufacturing,Miscellanoues Capital Goods,Conveyors and conveying equipment,3535,420
Manufacturing,Miscellanoues Capital Goods,Elevators and moving stairways,3534,741
Manufacturing,Miscellanoues Capital Goods,Engine electrical equipment,3694,1017
Manufacturing,Miscellanoues Capital Goods,Farm machinery and equipment,3523,1052
Manufacturing,Miscellanoues Capital Goods,Food products machinery,3556,433
Manufacturing,Miscellanoues Capital Goods,"General industrial machinery, nec",3569,3725
Manufacturing,Miscellanoues Capital Goods,"Hoists, cranes, and monorails",3536,6
Manufacturing,Miscellanoues Capital Goods,Industrial furnaces and ovens,3567,9
Manufacturing,Miscellanoues Capital Goods,"Industrial machinery, nec",3599,45
Manufacturing,Miscellanoues Capital Goods,Industrial trucks and tractors,3537,130
Manufacturing,Miscellanoues Capital Goods,Lawn and garden equipment,3524,3
Manufacturing,Miscellanoues Capital Goods,Machine tool accessories,3545,78
Manufacturing,Miscellanoues Capital Goods,"Machine tools, metal cutting types",3541,19
Manufacturing,Miscellanoues Capital Goods,"Machine tools, metal forming types",3542,33
Manufacturing,Miscellanoues Capital Goods,"Metalworking machinery, nec",3549,50
Manufacturing,Miscellanoues Capital Goods,Mining machinery,3532,185
Manufacturing,Miscellanoues Capital Goods,"Office machines, nec",3579,418
Manufacturing,Miscellanoues Capital Goods,Oil and gas field machinery,3533,94
Manufacturing,Miscellanoues Capital Goods,Packaging machinery,3565,106
Manufacturing,Miscellanoues Capital Goods,"Power transmission equipment, nec",3568,1037
Manufacturing,Miscellanoues Capital Goods,Power-driven handtools,3546,13
Manufacturing,Miscellanoues Capital Goods,Printing trades machinery,3555,457
Manufacturing,Miscellanoues Capital Goods,Pumps and pumping equipment,3561,3444
Manufacturing,Miscellanoues Capital Goods,Refrigeration and heating equipment,3585,2540
Manufacturing,Miscellanoues Capital Goods,"Service industry machinery, nec",3589,1436
Manufacturing,Miscellanoues Capital Goods,"Special industry machinery, nec",3559,1576
Manufacturing,Miscellanoues Capital Goods,Turbines and turbine generator sets,3511,43
Manufacturing,Miscellanoues Capital Goods,Welding apparatus,3548,234
Manufacturing,Miscellanoues Fabricated Goods,Abrasive products,3291,15
Manufacturing,Miscellanoues Fabricated Goods,Aluminum die-castings,3363,13
Manufacturing,Miscellanoues Fabricated Goods,Aluminum extruded products,3354,132
Manufacturing,Miscellanoues Fabricated Goods,"Aluminum rolling and drawing, nec",3355,42
Manufacturing,Miscellanoues Fabricated Goods,"Aluminum sheet, plate, and foil",3353,838
Manufacturing,Miscellanoues Fabricated Goods,"Ammunition, exc. for small arms, nec",3483,6
Manufacturing,Miscellanoues Fabricated Goods,Architectural metal work,3446,662
Manufacturing,Miscellanoues Fabricated Goods,"Bolts, nuts, rivets, and washers",3452,983
Manufacturing,Miscellanoues Fabricated Goods,Brick and structural clay tile,3251,8
Manufacturing,Miscellanoues Fabricated Goods,Carbon and graphite products,3624,515
Manufacturing,Miscellanoues Fabricated Goods,Ceramic wall and floor tile,3253,457
Manufacturing,Miscellanoues Fabricated Goods,Cold finishing of steel shapes,3316,1269
Manufacturing,Miscellanoues Fabricated Goods,Commercial lighting fixtures,3646,138
Manufacturing,Miscellanoues Fabricated Goods,Cut stone and stone products,3281,10
Manufacturing,Miscellanoues Fabricated Goods,Cutlery,3421,23
Manufacturing,Miscellanoues Fabricated Goods,Electric housewares and fans,3634,688
Manufacturing,Miscellanoues Fabricated Goods,Electric lamps,3641,28
Manufacturing,Miscellanoues Fabricated Goods,"Fabricated metal products, nec",3499,1489
Manufacturing,Miscellanoues Fabricated Goods,Fabricated pipe and fittings,3498,575
Manufacturing,Miscellanoues Fabricated Goods,Fabricated plate work (boiler shops),3443,221
Manufacturing,Miscellanoues Fabricated Goods,"Fabricated rubber products, nec",3069,352
Manufacturing,Miscellanoues Fabricated Goods,Fabricated structural metal,3441,368
Manufacturing,Miscellanoues Fabricated Goods,Flat glass,3211,190
Manufacturing,Miscellanoues Fabricated Goods,Fluid power valves & hose fittings,3492,76
Manufacturing,Miscellanoues Fabricated Goods,"Furniture and fixtures, nec",2599,244
Manufacturing,Miscellanoues Fabricated Goods,"Gaskets, packing and sealing devices",3053,22
Manufacturing,Miscellanoues Fabricated Goods,Glass containers,3221,3
Manufacturing,Miscellanoues Fabricated Goods,Gypsum products,3275,403
Manufacturing,Miscellanoues Fabricated Goods,"Hand and edge tools, nec",3423,199
Manufacturing,Miscellanoues Fabricated Goods,"Hard surface floor coverings, nec",3996,65
Manufacturing,Miscellanoues Fabricated Goods,"Hardware, nec",3429,450
Manufacturing,Miscellanoues Fabricated Goods,"Heating equipment, except electric",3433,1304
Manufacturing,Miscellanoues Fabricated Goods,"Household appliances, nec",3639,201
Manufacturing,Miscellanoues Fabricated Goods,Household refrigerators and freezers,3632,1049
Manufacturing,Miscellanoues Fabricated Goods,Household vacuum cleaners,3635,313
Manufacturing,Miscellanoues Fabricated Goods,Industrial valves,3491,483
Manufacturing,Miscellanoues Fabricated Goods,Laminated plastics plate & sheet,3083,185
Manufacturing,Miscellanoues Fabricated Goods,"Lighting equipment, nec",3648,285
Manufacturing,Miscellanoues Fabricated Goods,"Manufacturing industries, nec",3999,4107
Manufacturing,Miscellanoues Fabricated Goods,Mechanical rubber goods,3061,1289
Manufacturing,Miscellanoues Fabricated Goods,"Metal barrels, drums, and pails",3412,144
Manufacturing,Miscellanoues Fabricated Goods,Metal cans,3411,10
Manufacturing,Miscellanoues Fabricated Goods,Metal coating and allied services,3479,1141
Manufacturing,Miscellanoues Fabricated Goods,"Metal doors, sash, and trim",3442,288
Manufacturing,Miscellanoues Fabricated Goods,Metal sanitary ware,3431,238
Manufacturing,Miscellanoues Fabricated Goods,"Metal stampings, nec",3469,85
Manufacturing,Miscellanoues Fabricated Goods,Mineral wool,3296,124
Manufacturing,Miscellanoues Fabricated Goods,"Minerals, ground or treated",3295,1055
Manufacturing,Miscellanoues Fabricated Goods,Misc. fabricated wire products,3496,287
Manufacturing,Miscellanoues Fabricated Goods,Miscellaneous metal work,3449,117
Manufacturing,Miscellanoues Fabricated Goods,Nonclay refractories,3297,49
Manufacturing,Miscellanoues Fabricated Goods,"Nonferrous rolling and drawing, nec",3356,111
Manufacturing,Miscellanoues Fabricated Goods,Nonferrous wiredrawing & insulating,3357,516
Manufacturing,Miscellanoues Fabricated Goods,"Nonmetallic mineral products, nec",3299,101
Manufacturing,Miscellanoues Fabricated Goods,"Office furniture, except wood",2522,132
Manufacturing,Miscellanoues Fabricated Goods,"Partitions and fixtures, except wood",2542,1
Manufacturing,Miscellanoues Fabricated Goods,Plastics bottles,3085,290
Manufacturing,Miscellanoues Fabricated Goods,Plastics pipe,3084,510
Manufacturing,Miscellanoues Fabricated Goods,Plastics plumbing fixtures,3088,127
Manufacturing,Miscellanoues Fabricated Goods,Plating and polishing,3471,3
Manufacturing,Miscellanoues Fabricated Goods,Plumbing fixture fittings and trim,3432,189
Manufacturing,Miscellanoues Fabricated Goods,Porcelain electrical supplies,3264,357
Manufacturing,Miscellanoues Fabricated Goods,"Pottery products, nec",3269,578
Manufacturing,Miscellanoues Fabricated Goods,Prefabricated metal buildings,3448,2
Manufacturing,Miscellanoues Fabricated Goods,"Pressed and blown glass, nec",3229,255
Manufacturing,Miscellanoues Fabricated Goods,"Primary metal products, nec",3399,235
Manufacturing,Miscellanoues Fabricated Goods,Products of purchased glass,3231,1138
Manufacturing,Miscellanoues Fabricated Goods,Public building & related furniture,2531,463
Manufacturing,Miscellanoues Fabricated Goods,Rubber & plastics hose & belting,3052,92
Manufacturing,Miscellanoues Fabricated Goods,Saw blades and handsaws,3425,8
Manufacturing,Miscellanoues Fabricated Goods,Semivitreous table & kitchenware,3263,310
Manufacturing,Miscellanoues Fabricated Goods,Sheet metalwork,3444,138
Manufacturing,Miscellanoues Fabricated Goods,Signs and advertising specialities,3993,804
Manufacturing,Miscellanoues Fabricated Goods,Steel pipe and tubes,3317,1214
Manufacturing,Miscellanoues Fabricated Goods,Steel wire and related products,3315,59
Manufacturing,Miscellanoues Fabricated Goods,Switchgear and switchboard apparatus,3613,3673
Manufacturing,Miscellanoues Fabricated Goods,Unsupported plastics profile shapes,3082,126
Manufacturing,Miscellanoues Fabricated Goods,Upholstered household furniture,2512,43
Manufacturing,Miscellanoues Fabricated Goods,"Valves and pipe fittings, nec",3494,619
Manufacturing,Miscellanoues Fabricated Goods,Vitreous plumbing fixtures,3261,297
Misc. Other,Misc. Other,Nonclassifiable establishments,9999,3817
Power & Utilities,Environmental/Waste Management,Refuse systems,4953,116
Power & Utilities,Environmental/Waste Management,Sewerage systems,4952,14
Power & Utilities,Environmental/Waste Management,Water supply,4941,1157
Power & Utilities,Power,Gas production and/or distribution,4925,70
Power & Utilities,Power,Natural gas distribution,4924,193
Power & Utilities,Power,Natural gas transmission,4922,183
Power & Utilities,Utilities,"Combination utilities, nec",4939,326
Power & Utilities,Utilities,Electric and other services combined,4931,1753
Power & Utilities,Utilities,Electric services,4911,7866
Power & Utilities,Utilities,Gas and other services combined,4932,107
Power & Utilities,Utilities,"Sanitary services, nec",4959,1
Public Entity & Non Profit Organizations,"Local/Municipal, State/Regional, Federal Government",Admin. of general economic programs,9611,149
Public Entity & Non Profit Organizations,"Local/Municipal, State/Regional, Federal Government",Administration of veterans' affairs,9451,4
Public Entity & Non Profit Organizations,"Local/Municipal, State/Regional, Federal Government","Air, water, & solid waste management",9511,242
Public Entity & Non Profit Organizations,"Local/Municipal, State/Regional, Federal Government",Courts,9211,18
Public Entity & Non Profit Organizations,"Local/Municipal, State/Regional, Federal Government",Executive and legislative combined,9131,4
Public Entity & Non Profit Organizations,"Local/Municipal, State/Regional, Federal Government",Executive offices,9111,2346
Public Entity & Non Profit Organizations,"Local/Municipal, State/Regional, Federal Government","General government, nec",9199,772
Public Entity & Non Profit Organizations,"Local/Municipal, State/Regional, Federal Government",Housing programs,9531,603
Public Entity & Non Profit Organizations,"Local/Municipal, State/Regional, Federal Government",International affairs,9721,9
Public Entity & Non Profit Organizations,"Local/Municipal, State/Regional, Federal Government",Legislative bodies,9121,19
Public Entity & Non Profit Organizations,"Local/Municipal, State/Regional, Federal Government",National security,9711,6
Public Entity & Non Profit Organizations,"Local/Municipal, State/Regional, Federal Government",Police protection,9221,42
Public Entity & Non Profit Organizations,"Local/Municipal, State/Regional, Federal Government","Public order and safety, nec",9229,25
Public Entity & Non Profit Organizations,"Local/Municipal, State/Regional, Federal Government",Regulation misc. commercial sectors,9651,172
Public Entity & Non Profit Organizations,"Local/Municipal, State/Regional, Federal Government",Regulation of agricultural marketing,9641,56
Public Entity & Non Profit Organizations,"Local/Municipal, State/Regional, Federal Government","Regulation, admin. of transportation",9621,516
Public Entity & Non Profit Organizations,"Local/Municipal, State/Regional, Federal Government","Regulation, admin. of utilities",9631,31
Public Entity & Non Profit Organizations,Non Profit Organizations,Civic and social associations,8641,1145
Public Entity & Non Profit Organizations,Non Profit Organizations,Labor organizations,8631,457
Public Entity & Non Profit Organizations,Non Profit Organizations,"Land, mineral, wildlife conservation",9512,5
Public Entity & Non Profit Organizations,Non Profit Organizations,"Membership organizations, nec",8699,1405
Public Entity & Non Profit Organizations,Non Profit Organizations,Political organizations,8651,1
Public Entity & Non Profit Organizations,Non Profit Organizations,Professional organizations,8621,1710
Public Entity & Non Profit Organizations,Non Profit Organizations,Religious organizations,8661,2982
Public Entity & Non Profit Organizations,Non Profit Organizations,Urban and community development,9532,89
Real Estate,Real Estate Developers,Cemetery subdividers and developers,6553,895
Real Estate,Real Estate Developers,"Subdividers and developers, nec",6552,6478
Real Estate,Real Estate Investment Trusts (REITs),Real estate investment trusts,6798,13106
Real Estate,Real Estate Owners/Management Companies - Commercial,Automobile parking,7521,50
Real Estate,Real Estate Owners/Management Companies - Commercial,"Motion picture theaters, ex drive-in",7832,4217
Real Estate,Real Estate Owners/Management Companies - Commercial,Nonresidential building operators,6512,5542
Real Estate,Real Estate Owners/Management Companies - Commercial,"Real property lessors, nec",6519,2099
Real Estate,Real Estate Owners/Management Companies - Residential,Apartment building operators,6513,4960
Real Estate,Real Estate Owners/Management Companies - Residential,"Dwelling operators, exc. apartments",6514,331
Real Estate,Real Estate Owners/Management Companies - Residential,Real estate agents and managers,6531,25340
Retail/Wholesale,Gas Stations,Gasoline service stations,5541,412
Retail/Wholesale,Large Format/Warehouse Stores,Furniture stores,5712,414
Retail/Wholesale,Large Format/Warehouse Stores,Hardware stores,5251,24
Retail/Wholesale,Large Format/Warehouse Stores,Household appliance stores,5722,367
Retail/Wholesale,Large Format/Warehouse Stores,Lumber and other building materials,5211,828
Retail/Wholesale,Large Format/Warehouse Stores,"Paint, glass, and wallpaper stores",5231,210
Retail/Wholesale,Large Format/Warehouse Stores,Retail nurseries and garden stores,5261,64
Retail/Wholesale,Retail - Other,Department stores,5311,2564
Retail/Wholesale,Retail - Other,Used merchandise stores,5932,1
Retail/Wholesale,Retail - Other,Variety stores,5331,2053
Retail/Wholesale,Specialty/Apparel,Auto and home supply stores,5531,2762
Retail/Wholesale,Specialty/Apparel,Book stores,5942,467
Retail/Wholesale,Specialty/Apparel,Camera & photographic supply stores,5946,39
Retail/Wholesale,Specialty/Apparel,Catalog and mail-order houses,5961,926
Retail/Wholesale,Specialty/Apparel,Children's and infants' wear stores,5641,156
Retail/Wholesale,Specialty/Apparel,Computer and software stores,5734,256
Retail/Wholesale,Specialty/Apparel,Costume jewelry,3961,33
Retail/Wholesale,Specialty/Apparel,Direct selling establishments,5963,415
Retail/Wholesale,Specialty/Apparel,Family clothing stores,5651,1517
Retail/Wholesale,Specialty/Apparel,Floor covering stores,5713,332
Retail/Wholesale,Specialty/Apparel,Fuel oil dealers,5983,92
Retail/Wholesale,Specialty/Apparel,"Gift, novelty, and souvenir shops",5947,6
Retail/Wholesale,Specialty/Apparel,"Hobby, toy, and game shops",5945,56
Retail/Wholesale,Specialty/Apparel,Jewelry stores,5944,186
Retail/Wholesale,Specialty/Apparel,Luggage and leather goods stores,5948,707
Retail/Wholesale,Specialty/Apparel,Men's & boys' clothing stores,5611,56
Retail/Wholesale,Specialty/Apparel,Merchandising machine operators,5962,476
Retail/Wholesale,Specialty/Apparel,Misc. apparel & accessory stores,5699,1277
Retail/Wholesale,Specialty/Apparel,Misc. general merchandise stores,5399,404
Retail/Wholesale,Specialty/Apparel,Misc. homefurnishings stores,5719,208
Retail/Wholesale,Specialty/Apparel,"Miscellaneous retail stores, nec",5999,1461
Retail/Wholesale,Specialty/Apparel,Musical instrument stores,5736,443
Retail/Wholesale,Specialty/Apparel,"Radio, TV, & electronic stores",5731,276
Retail/Wholesale,Specialty/Apparel,Record & prerecorded tape stores,5735,28
Retail/Wholesale,Specialty/Apparel,Shoe stores,5661,283
Retail/Wholesale,Specialty/Apparel,Sporting goods and bicycle shops,5941,3856
Retail/Wholesale,Specialty/Apparel,Stationery stores,5943,1
Retail/Wholesale,Specialty/Apparel,Women's accessory & specialty stores,5632,5
Retail/Wholesale,Specialty/Apparel,Women's clothing stores,5621,1723
Retail/Wholesale,Supermarkets,"Candy, nut, and confectionery stores",5441,165
Retail/Wholesale,Supermarkets,Dairy products stores,5451,77
Retail/Wholesale,Supermarkets,Drug stores and proprietary stores,5912,823
Retail/Wholesale,Supermarkets,Grocery stores,5411,8448
Retail/Wholesale,Supermarkets,Liquor stores,5921,670
Retail/Wholesale,Supermarkets,Meat and fish markets,5421,129
Retail/Wholesale,Supermarkets,Miscellaneous food stores,5499,562
Retail/Wholesale,Supermarkets,Retail bakeries,5461,718
Retail/Wholesale,Wholesale - Durable Goods,"Brick, stone, & related materials",5032,145
Retail/Wholesale,Wholesale - Durable Goods,Coal and other minerals and ores,5052,737
Retail/Wholesale,Wholesale - Durable Goods,"Commercial equipment, nec",5046,15
Retail/Wholesale,Wholesale - Durable Goods,Construction and mining machinery,5082,2662
Retail/Wholesale,Wholesale - Durable Goods,"Construction materials, nec",5039,121
Retail/Wholesale,Wholesale - Durable Goods,"Durable goods, nec",5099,211
Retail/Wholesale,Wholesale - Durable Goods,Electrical apparatus and equipment,5063,1788
Retail/Wholesale,Wholesale - Durable Goods,"Electrical appliances, TV & radios",5064,1427
Retail/Wholesale,Wholesale - Durable Goods,Farm and garden machinery,5083,479
Retail/Wholesale,Wholesale - Durable Goods,Furniture,5021,375
Retail/Wholesale,Wholesale - Durable Goods,Hardware,5072,83
Retail/Wholesale,Wholesale - Durable Goods,Homefurnishings,5023,335
Retail/Wholesale,Wholesale - Durable Goods,Industrial machinery and equipment,5084,3492
Retail/Wholesale,Wholesale - Durable Goods,Industrial supplies,5085,1630
Retail/Wholesale,Wholesale - Durable Goods,Jewelry & precious stones,5094,744
Retail/Wholesale,Wholesale - Durable Goods,"Lumber, plywood, and millwork",5031,646
Retail/Wholesale,Wholesale - Durable Goods,Medical and hospital equipment,5047,1982
Retail/Wholesale,Wholesale - Durable Goods,Metals service centers and offices,5051,1090
Retail/Wholesale,Wholesale - Durable Goods,Office equipment,5044,70
Retail/Wholesale,Wholesale - Durable Goods,Ophthalmic goods,5048,28
Retail/Wholesale,Wholesale - Durable Goods,Photographic equipment and supplies,5043,113
Retail/Wholesale,Wholesale - Durable Goods,Plumbing & hydronic heating supplies,5074,80
Retail/Wholesale,Wholesale - Durable Goods,"Professional equipment, nec",5049,21
Retail/Wholesale,Wholesale - Durable Goods,Refrigeration equipment and supplies,5078,77
Retail/Wholesale,Wholesale - Durable Goods,"Roofing, siding, & insulation",5033,8
Retail/Wholesale,Wholesale - Durable Goods,Scrap and waste materials,5093,37
Retail/Wholesale,Wholesale - Durable Goods,Service establishment equipment,5087,645
Retail/Wholesale,Wholesale - Durable Goods,Sporting & recreational goods,5091,428
Retail/Wholesale,Wholesale - Durable Goods,Toys and hobby goods and supplies,5092,88
Retail/Wholesale,Wholesale - Durable Goods,Transportation equipment & supplies,5088,763
Retail/Wholesale,Wholesale - Durable Goods,Warm air heating & air-conditioning,5075,914
Retail/Wholesale,Wholesale - Nondurable Goods,Beer and ale,5181,753
Retail/Wholesale,Wholesale - Nondurable Goods,"Books, periodicals, & newspapers",5192,6
Retail/Wholesale,Wholesale - Nondurable Goods,Confectionery,5145,36
Retail/Wholesale,Wholesale - Nondurable Goods,"Dairy products, exc. dried or canned",5143,161
Retail/Wholesale,Wholesale - Nondurable Goods,Farm supplies,5191,148
Retail/Wholesale,Wholesale - Nondurable Goods,"Farm-product raw materials, nec",5159,697
Retail/Wholesale,Wholesale - Nondurable Goods,Fish and seafoods,5146,686
Retail/Wholesale,Wholesale - Nondurable Goods,Flowers & florists' supplies,5193,15
Retail/Wholesale,Wholesale - Nondurable Goods,Footwear,5139,1065
Retail/Wholesale,Wholesale - Nondurable Goods,Fresh fruits and vegetables,5148,1907
Retail/Wholesale,Wholesale - Nondurable Goods,Grain and field beans,5153,180
Retail/Wholesale,Wholesale - Nondurable Goods,"Groceries and related products, nec",5149,3702
Retail/Wholesale,Wholesale - Nondurable Goods,"Groceries, general line",5141,1430
Retail/Wholesale,Wholesale - Nondurable Goods,Industrial & personal service paper,5113,249
Retail/Wholesale,Wholesale - Nondurable Goods,Livestock,5154,5
Retail/Wholesale,Wholesale - Nondurable Goods,Meats and meat products,5147,180
Retail/Wholesale,Wholesale - Nondurable Goods,Men's and boys' clothing,5136,718
Retail/Wholesale,Wholesale - Nondurable Goods,"Nondurable goods, nec",5199,1094
Retail/Wholesale,Wholesale - Nondurable Goods,Packaged frozen foods,5142,258
Retail/Wholesale,Wholesale - Nondurable Goods,"Paints, varnishes, and supplies",5198,43
Retail/Wholesale,Wholesale - Nondurable Goods,"Petroleum products, nec",5172,892
Retail/Wholesale,Wholesale - Nondurable Goods,Piece goods & notions,5131,84
Retail/Wholesale,Wholesale - Nondurable Goods,Plastics materials & basic shapes,5162,44
Retail/Wholesale,Wholesale - Nondurable Goods,Poultry and poultry products,5144,201
Retail/Wholesale,Wholesale - Nondurable Goods,Printing and writing paper,5111,935
Retail/Wholesale,Wholesale - Nondurable Goods,Stationery and office supplies,5112,213
Retail/Wholesale,Wholesale - Nondurable Goods,Tobacco and tobacco products,5194,20
Retail/Wholesale,Wholesale - Nondurable Goods,Wine and distilled beverages,5182,437
Retail/Wholesale,Wholesale - Nondurable Goods,Women's and children's clothing,5137,552
Services,Business Services,"Accounting, auditing, & bookkeeping",8721,2930
Services,Business Services,Adjustment & collection services,7322,158
Services,Business Services,"Building maintenance services, nec",7349,1983
Services,Business Services,Business associations,8611,808
Services,Business Services,"Business consulting, nec",8748,1981
Services,Business Services,"Business services, nec",7389,5999
Services,Business Services,Commercial art and graphic design,7336,102
Services,Business Services,Commercial nonphysical research,8732,198
Services,Business Services,Credit reporting services,7323,166
Services,Business Services,Detective & armored car services,7381,97
Services,Business Services,Employment agencies,7361,385
Services,Business Services,"Equipment rental & leasing, nec",7359,1576
Services,Business Services,Facilities support services,8744,16
Services,Business Services,Help supply services,7363,311
Services,Business Services,Industrial launderers,7218,12
Services,Business Services,Management consulting services,8742,8118
Services,Business Services,Management services,8741,3627
Services,Business Services,"Miscellaneous personal services, nec",7299,70
Services,Business Services,News syndicates,7383,5
Services,Business Services,Outdoor advertising services,7312,209
Services,Business Services,"Radio, TV, publisher representatives",7313,710
Services,Business Services,Secretarial & court reporting,7338,30
Services,Business Services,Security systems services,7382,307
Services,Business Services,"Services, nec",8999,295
Services,Business Services,Tax return preparation services,7291,381
Services,Business Services,Testing laboratories,8734,745
Services,Legal Services,Legal services,8111,5949
Services,Personal Services,Armature rewinding shops,7694,4
Services,Personal Services,Beauty shops,7231,122
Services,Personal Services,Carpet and upholstery cleaning,7217,1
Services,Personal Services,Carwashes,7542,26
Services,Personal Services,Funeral service and crematories,7261,50
Services,Personal Services,Individual and family services,8322,3012
Services,Personal Services,Job training and related services,8331,9
Services,Personal Services,Private households,8811,7
Services,Personal Services,Refrigeration service and repair,7623,8
Services,Personal Services,"Repair services, nec",7699,192
Services,Personal Services,Residential care,8361,332
Services,Personal Services,"Social services, nec",8399,949
Sports & Events,Sports and Events,"Amusement and recreation, nec",7999,2543
Sports & Events,Sports and Events,Amusement parks,7996,1380
Sports & Events,Sports and Events,Botanical and zoological gardens,8422,775
Sports & Events,Sports and Events,"Dance studios, schools, and halls",7911,6
Sports & Events,Sports and Events,Membership sports & recreation clubs,7997,2083
Sports & Events,Sports and Events,Museums and art galleries,8412,2671
Sports & Events,Sports and Events,Physical fitness facilities,7991,1086
Sports & Events,Sports and Events,Public golf courses,7992,21
Sports & Events,Sports and Events,"Racing, including track operation",7948,816
Sports & Events,Sports and Events,Small arms,3484,43
Sports & Events,Sports and Events,"Sporting and athletic goods, nec",3949,2271
Sports & Events,Sports and Events,Sporting and recreational camps,7032,87
Sports & Events,Sports and Events,"Sports clubs, managers, & promoters",7941,3671
Transportation,Land Passenger Transportation,Intercity & rural bus transportation,4131,219
Transportation,Land Passenger Transportation,"Local passenger transportation, nec",4119,538
Transportation,Land Passenger Transportation,Taxicabs,4121,25
Transportation,Land Passenger Transportation,Tour operators,4725,50
Transportation,Land Passenger Transportation,"Transportation services, nec",4789,781
Transportation,Land Passenger Transportation,Travel agencies,4724,235
Transportation,Rail Transportation,Local and suburban transit,4111,988
Transportation,Rail Transportation,Railroad equipment,3743,1334
Transportation,Rail Transportation,"Railroads, line-haul operating",4011,805
Transportation,Rail Transportation,Rental of railroad cars,4741,45
Transportation,Rail Transportation,Switching and terminal services,4013,170
Transportation,Transportation - Other,"Air transportation, nonscheduled",4522,340
Transportation,Transportation - Other,"Air transportation, scheduled",4512,765
Transportation,Transportation Infrastructure,"Airports, flying fields, & services",4581,1198
Transportation,Transportation Infrastructure,Bus terminal and service facilities,4173,10
Transportation,Transportation Infrastructure,Inspection & fixed facilities,4785,56
Transportation,Transportation Infrastructure,Marinas,4493,277
Transportation,Transportation Infrastructure,Towing and tugboat service,4492,190
Transportation,Trucking/Logistics,"Courier services, except by air",4215,216
Transportation,Trucking/Logistics,Farm product warehousing and storage,4221,18
Transportation,Trucking/Logistics,Freight transportation arrangement,4731,3247
Transportation,Trucking/Logistics,General warehousing and storage,4225,939
Transportation,Trucking/Logistics,Local trucking with storage,4214,883
Transportation,Trucking/Logistics,"Local trucking, without storage",4212,540
Transportation,Trucking/Logistics,Packing and crating,4783,2
Transportation,Trucking/Logistics,Refrigerated warehousing and storage,4222,80
Transportation,Trucking/Logistics,"Special warehousing and storage, nec",4226,48
Transportation,Trucking/Logistics,Trucking terminal facilities,4231,3
Transportation,Trucking/Logistics,"Trucking, except local",4213,3165
Transportation,Water Passenger Transportation,Ferries,4482,25
Transportation,Water Transportation of Goods,Deep sea domestic trans. of freight,4424,119
Transportation,Water Transportation of Goods,Deep sea foreign trans. of freight,4412,372
Transportation,Water Transportation of Goods,Marine cargo handling,4491,506
Transportation,Water Transportation of Goods,"Water transportation of freight, nec",4449,201
Transportation,Water Transportation of Goods,"Water transportation services, nec",4499,108
